"LANGUAGE","日本語"
"VSD_DESC","公共交通車両のスポーン(出現)間隔を調整・遅延します"
"VSD_DEP_PER","デポット単位で別々のタイマーを使用"
"VSD_BUS_DEL","バスのスポーンを遅延"
"VSD_TRA_DEL","トラムのスポーンを遅延"
"VSD_TRO_DEL","トローリーバスのスポーンを遅延"
"VSD_HEL_DEL","旅客ヘリのスポーンを遅延"
"VSD_BLI_DEL","飛行船のスポーンを遅延"
"VSD_TRN_DWE","列車の待機時間の最小値"
"VSD_TIM_BLK","ブロックされたスポーン:"
"VSD_TIM_APP","ゲーム内の時間でおよそ:"
"VSD_TIM_HR","時間"
"VSD_TIM_HRS","時間"
"VSD_TIM_MN","分"
"VSD_TIM_MNS","分"
"VSD_TIM_SNS","通常の速度で秒"
"TRN_CHOICE","言語設定"
"LANGUAGE_GAME","ゲームの言語を使用"
