"LANGUAGE","简体中文"
"VSD_DESC","设置公共交通发车间隔时间"
"VSD_DEP_PER","为不同的发车车库单独设置发车间隔时间"
"VSD_BUS_DEL","公交车发车间隔时间"
"VSD_TRA_DEL","有轨电车发车间隔时间"
"VSD_TRO_DEL","无轨电车发车间隔时间"
"VSD_HEL_DEL","直升机起飞间隔时间"
"VSD_BLI_DEL","飞艇起飞间隔时间"
"VSD_TRN_DWE","最短列车停留时间"
"VSD_TIM_BLK","已对其延迟发车"
"VSD_TIM_APP","游戏内时间约为"
"VSD_TIM_HR","小时"
"VSD_TIM_HRS","小时"
"VSD_TIM_MN","分钟"
"VSD_TIM_MNS","分钟"
"VSD_TIM_SNS","正常速度下的秒数"
"TRN_CHOICE","语言设定"
"LANGUAGE_GAME","使用游戏默认语言"
